id description spriteSheetX spriteSheetY walkable
? fall_back_sprite 8 0 true
d dust 6 0 true
s sand 7 0 true
e soil 1 12 true
g grass 6 1 true
o ocean 4 22 false
w water 6 2 false
W grass_water 4 2 false
l grass_border_left 1 3 true
r grass_border_right 3 3 true
[ island_ocean_border_top_left 6 23 false
+ island_ocean_border_top_mid 4 23 false
] island_ocean_border_top_right 6 22 false
) island_ocean_border_mid_right 3 22 false
( island_ocean_border_mid_left 5 22 false
{ island_ocean_border_bottom_left 6 21 false
* island_ocean_border_bottom_mid 4 21 false
} island_ocean_border_bottom_right 6 20 false
_ empty_walkable 8 0 true
~ empty_not_walkable 8 0 false
f flower 0 0 true
F flower2 8 8 true
S sign 5 1 false
T tree1_upper 3 0 false
t tree1_lower 3 1 false
b bush 2 3 false
B bush2 7 11 false
Q bush3 5 9 false
c cactus 5 10 false
I fence 4 3 false
r rock 0 1 false
R rock_in_water 4 7 false
X pier_horizontal_1 4 4 true
Y pier_horizontal_2 4 5 true
Z pier_horizontal_3 4 6 true
x pier_vertical_1 1 6 true
y pier_vertical_2 2 6 true
z pier_vertical_3 3 6 true
< grass_border_top_left 1 2 true
- grass_border_top_middle 2 2 true
> grass_border_top_right 3 2 true
